names;Die_area;TDP;GFLOPS;price;Tech_node;Memory;date;foundry;Mem_type;Compute_capability;FU
A100;826;400;19490;11941;7;40;2020;TSMC;HBM2e;8;Large-scale
A40;628;300;37420;6702;8;48;2020;Samsung;GDDR6;8.6;Large-scale
A5000;628;230;27770;2491;8;24;2021;Samsung;GDDR6;8.6;Desktop
AGX-Xavier;350;30;1410;1299;12;16;2018;TSMC;LPDDR4X;7.2;Edge
GTX-1080Ti;471;250;11340;699;16;11;2017;TSMC;GDDR5X;6.1;Gaming
L40;609;300;90520;10500;5;48;2022;TSMC;GDDR6;8.9;Large-scale
Quadro-P6000;471;250;12630;5999;16;24;2016;TSMC;GDDR5X;6.1;Desktop
Quadro-RTX-6000;754;260;16310;6299;12;24;2018;TSMC;GDDR6;7.5;Desktop
Quadro-RTX-8000;754;260;16310;9999;12;48;2018;TSMC;GDDR6;7.5;Desktop
RTX-2080Ti;754;250;13450;999;12;11;2018;TSMC;GDDR6;7.5;Gaming
H100;814;700;62080;33396;5;80;2023;TSMC;HBM2e;9;Large-scale
L40S;609;300;91610;10500;5;48;2022;TSMC;GDDR6;8.9;Large-scale
Tesla-M2075;520;225;1028;2399;40;6;2011;TSMC;GDDR5;2;Desktop
Tesla-P100;610;250;9526;5699;16;16;2016;TSMC;HBM2;6;Large-scale
Tesla-T4;545;70;8141;2356;12;16;2018;TSMC;GDDR6;7.5;Desktop
Tesla-V100;815;250;14130;10334;12;32;2018;TSMC;HBM2;7;Large-scale
AGX-Orin;455;60;5325;1599;8;64;2023;Samsung;LPDDR5;7.7;Edge
CPU-Ryzen9-7900;122;65;0;429;6;64;2023;TSMC;HBM2;0;Desktop
RTX-5070;263;250;30870;549;5;12;2025;TSMC;GDDR6;9;Desktop
